                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2948,                0.50007,                 1.1261,                 1.2268,                0.69078,                0.84615,                0.80579,                0.38153,                0.69078,                0.84615,                0.80579,                0.38815,                 1.6273,                0.09751,                 2.8732,                 1.8527,              0.0019826,              0.0019826,              0.0019826
                     47,                 1.3194,                0.59017,                 1.0662,                  1.251,                0.82259,                0.69231,                0.74777,                0.39594,                0.82259,                0.69231,                0.74777,                 0.4365,                 1.6476,                0.14089,                 2.3623,                 1.6967,              0.0019822,              0.0019822,              0.0019822
                     48,                 1.2674,                 0.6938,                 1.0241,                 1.2281,                0.72336,                0.60434,                0.55989,                0.37059,                0.72336,                0.60434,                0.55989,                0.35934,                 1.5273,                0.22992,                 2.5872,                 1.5082,              0.0019818,              0.0019818,              0.0019818
                     49,                 1.3647,                0.74922,                 1.1638,                 1.3478,                0.72336,                0.60434,                0.55989,                0.37059,                0.72336,                0.60434,                0.55989,                0.35934,                 1.5273,                0.22992,                 2.5872,                 1.5082,              0.0019814,              0.0019814,              0.0019814
                     50,                 1.4333,                0.62839,                 1.1073,                 1.3014,                 0.7443,                0.67301,                 0.7071,                 0.4772,                 0.7443,                0.67301,                 0.7071,                0.54005,                 1.4646,                0.32669,                 2.9724,                 1.4711,               0.001981,               0.001981,               0.001981
                     51,                 1.3354,                0.70135,                  1.198,                 1.2088,                0.90913,                0.76961,                0.84956,                0.62862,                0.90913,                0.76961,                0.84956,                0.69594,                 1.4115,                0.14263,                 1.2685,                 1.3832,              0.0019806,              0.0019806,              0.0019806
                     52,                 1.2113,                0.61166,                 1.0775,                 1.1469,                0.86606,                0.61538,                0.75122,                0.45894,                0.86606,                0.61538,                0.75122,                0.45566,                 1.2928,                0.14082,                 1.3639,                 1.4221,              0.0019802,              0.0019802,              0.0019802
                     53,                 1.1839,                0.46933,                 0.9782,                  1.161,                0.86606,                0.61538,                0.75122,                0.45894,                0.86606,                0.61538,                0.75122,                0.45566,                 1.2928,                0.14082,                 1.3639,                 1.4221,              0.0019798,              0.0019798,              0.0019798
                     54,                 1.1474,                 0.5459,                0.93125,                 1.1061,                0.97643,                0.69231,                0.80765,                 0.4823,                0.97643,                0.69231,                0.80765,                0.48635,                 1.3713,                0.09449,                  1.566,                 1.5394,              0.0019794,              0.0019794,              0.0019794
                     55,                 1.1269,                 0.5671,                0.82453,                 1.0806,                0.90009,                0.92308,                0.94027,                0.65495,                0.90009,                0.92308,                0.94027,                0.67417,                 1.0394,                0.06119,                 1.4287,                 1.2437,               0.001979,               0.001979,               0.001979
